epoch,thr_mu,thr_sigma,thr_mu2sigma,val_err_genuine_mean,val_err_fraud_mean,val_err_genuine_median,val_err_fraud_median,val_precision,val_recall,val_f1,val_roc_auc,val_auc_pr,loss_customer,loss_merchant,loss_transaction,train_loss,val_loss
1,1.0094114000871421,0.5015635871426235,2.012538574372389,1.0094114000871421,1.498597766133013,0.9110665321350098,1.518440842628479,0.4853700516351119,0.11270983213429256,0.18293869607525137,0.7900872993738647,0.48193889163837583,1.8023386001586914,3.6964073181152344,1.0425440073013306,1.057850956916809,1.0094114000871421
2,1.0076114628256263,0.49824623505536053,2.0041039329363475,1.0076114628256263,1.504431920840268,0.9093048572540283,1.526842474937439,0.5013865779256794,0.12043698374633627,0.19422064668600278,0.792880876199966,0.487770163156901,1.7918312549591064,3.689426898956299,1.0307819843292236,1.0461158752441406,1.0076114628256263
3,1.0062999729511686,0.49571087085393156,1.9977217146590318,1.0062999729511686,1.5093215287660808,0.908373236656189,1.5340246558189392,0.5200427578834848,0.12962962962962962,0.20752906046710035,0.7951092059787095,0.4924757932023929,1.7784637212753296,3.6895017623901367,1.0234121084213257,1.0387442111968994,1.0062999729511686
4,1.0053916882075637,0.4937571691545488,1.9929060265166614,1.0053916882075637,1.5133985565395125,0.9079532623291016,1.539995789527893,0.5320813771517997,0.13589128697042366,0.21649156319643426,0.7968871214588902,0.4962182289934213,1.7739620208740234,3.678494930267334,1.0186691284179688,1.0339761972427368,1.0053916882075637
5,1.0046700819972778,0.49203189270003655,1.988733867397351,1.0046700819972778,1.5167397528275344,0.9074473083019257,1.5436596274375916,0.5417940876656473,0.14162003730349054,0.22454583861427968,0.7983803416964887,0.49933100104351846,1.7637839317321777,3.663923740386963,1.0148111581802368,1.030038595199585,1.0046700819972778
6,1.00406030562249,0.49055431466392424,1.9851689349503383,1.00406030562249,1.5194892177312114,0.9069262742996216,1.5486751794815063,0.5483383685800605,0.145083932853717,0.22945638432364096,0.7996516342373908,0.5019423453333414,1.7736605405807495,3.654764413833618,1.0119057893753052,1.027177333831787,1.00406030562249
7,1.0035311442139225,0.4892715543625856,1.9820742529390938,1.0035311442139225,1.5217452951583614,0.9064669013023376,1.5514258742332458,0.5565991102323282,0.15001332267519318,0.23633119949627454,0.8007669595661929,0.5041923441401376,1.760164737701416,3.670145273208618,1.0096276998519897,1.024911642074585,1.0035311442139225
8,1.00308766978025,0.48819038674648146,1.979468443273213,1.00308766978025,1.5236861870752918,0.9060792326927185,1.5544486045837402,0.5612745098039216,0.15254463096189716,0.2398910538445422,0.801740402141587,0.5061198355132986,1.7530457973480225,3.65606951713562,1.0086348056793213,1.0238301753997803,1.00308766978025
9,1.0027123160158125,0.4872700048950628,1.977252325805938,1.0027123160158125,1.5253743275765765,0.9054848551750183,1.5561118721961975,0.5639280505590666,0.15454303224087396,0.24260169402907036,0.8026015151029414,0.5077829688717365,1.7487778663635254,3.662619113922119,1.007169485092163,1.0223830938339233,1.0027123160158125
10,1.0024006614569787,0.4864892783525165,1.9753792181620118,1.0024006614569787,1.526837397071955,0.904829740524292,1.5576910376548767,0.5681271064034665,0.1572075672795097,0.24626943545862465,0.8033728128208338,0.5092234634529215,1.7572381496429443,3.654128074645996,1.0061728954315186,1.0214070081710815,1.0024006614569787
11,1.0021401542127484,0.48581770687848314,1.9737755679697147,1.0021401542127484,1.528103681642025,0.9040517508983612,1.5596783757209778,0.5710172744721689,0.1585398347988276,0.24817518248175183,0.8040640540602544,0.5104706141636797,1.7477989196777344,3.663451671600342,1.005354404449463,1.0205837488174438,1.0021401542127484
12,1.0019356582101928,0.4852435307652365,1.9724227197406659,1.0019356582101928,1.5292025941778684,0.9035772383213043,1.5605568885803223,0.5739503816793893,0.16027178257394084,0.25057279733388876,0.8046854682216684,0.5115664053125064,1.7496554851531982,3.6477794647216797,1.004639744758606,1.0198204517364502,1.0019356582101928
13,1.0017691321540443,0.48473525398247375,1.9712396401189918,1.0017691321540443,1.5301545056706265,0.9032590985298157,1.5619497299194336,0.5761179828734538,0.16133759658939514,0.25208159866777685,0.8052498685865789,0.512520260271278,1.7428545951843262,3.6499032974243164,1.0041190385818481,1.0192762613296509,1.0017691321540443
14,1.001624895293412,0.48427038990048077,1.9701656750943735,1.001624895293412,1.530968966005708,0.9033194780349731,1.5629734992980957,0.5784732100521575,0.16253663735678126,0.25377015080603227,0.8057741357420862,0.5133747473296401,1.74579918384552,3.6467552185058594,1.0036081075668335,1.0187733173370361,1.001624895293412
15,1.0015046390189832,0.4838270297641315,1.9691586985472462,1.0015046390189832,1.5316975446794625,0.9028761088848114,1.5636070370674133,0.5801418439716312,0.16346922462030375,0.2550670408481447,0.806268524466059,0.5141564273963996,1.7414207458496094,3.643096923828125,1.003269076347351,1.0183981657028198,1.0015046390189832
16,1.0014017857794386,0.4834024828669011,1.9682067515132409,1.0014017857794386,1.5324054673381593,0.9027381539344788,1.5647233724594116,0.5823084200567644,0.1640021316280309,0.2559251559251559,0.806756386583375,0.5149217391610997,1.741758108139038,3.6532785892486572,1.0032577514648438,1.018431544303894,1.0014017857794386
17,1.001299804230472,0.4829942287626477,1.9672882617557672,1.001299804230472,1.533033060679714,0.9022247791290283,1.566766083240509,0.5838450637694851,0.16466826538768986,0.25688454743842876,0.8072179277196562,0.5156225130412924,1.7391713857650757,3.6443369388580322,1.0026293992996216,1.017757534980774,1.001299804230472
18,1.001189008535767,0.48259673539171216,1.9663824793191913,1.001189008535767,1.5335638133281395,0.9024319350719452,1.5682497024536133,0.5857345299952763,0.165201172395417,0.2577158890158994,0.8076627174628888,0.5162792358239169,1.738114595413208,3.6430721282958984,1.0024821758270264,1.0176005363464355,1.001189008535767
19,1.0010746568492999,0.4822041549520684,1.9654829667534366,1.0010746568492999,1.5340213145283486,0.9023546874523163,1.5695158243179321,0.5859301227573183,0.1653343991473488,0.2578969243557772,0.8080965026413447,0.5168974909809658,1.7369885444641113,3.642942428588867,1.0022865533828735,1.0174001455307007,1.0010746568492999
20,1.000976153482375,0.48181624143341506,1.964608636349205,1.000976153482375,1.534424941793239,0.9020289778709412,1.5702645182609558,0.586125530910807,0.16546762589928057,0.2580779220779221,0.8085148652798572,0.5174677164772199,1.7331254482269287,3.646002769470215,1.0019817352294922,1.0170899629592896,1.000976153482375
21,1.0008926266184919,0.48143299528560524,1.9637586171897023,1.0008926266184919,1.5347620911068387,0.9022234976291656,1.5710048079490662,0.5871819038642789,0.16600053290700773,0.2588284171167428,0.8089215127863075,0.5179945387010554,1.734123945236206,3.6466095447540283,1.0019527673721313,1.0170692205429077,1.0008926266184919
22,1.0008019086350495,0.48104802932150614,1.9628979672780618,1.0008019086350495,1.5350147286971474,0.9020940065383911,1.571497917175293,0.5888157894736842,0.16693312017053025,0.2601204068922566,0.8093195365897949,0.5184849747690548,1.7314952611923218,3.6454391479492188,1.0018515586853027,1.0169496536254883,1.0008019086350495
23,1.0006942747320389,0.4806480174422554,1.9619903096165496,1.0006942747320389,1.5352046144046754,0.9019056558609009,1.5722243785858154,0.5899718837863168,0.16773248068212096,0.2612033195020747,0.809709038199931,0.5189640973629276,1.7362709045410156,3.6460256576538086,1.0017216205596924,1.0168496370315552,1.0006942747320389
24,1.0005819841495815,0.4802262964111415,1.9610345769718647,1.0005819841495815,1.535364196010186,0.9018392562866211,1.5730887055397034,0.5895872420262664,0.1674660271782574,0.26084249844366053,0.8100922669774412,0.5194509329562473,1.7323095798492432,3.6436915397644043,1.0016990900039673,1.0167958736419678,1.0005819841495815
25,1.0004789067578463,0.4798083939029975,1.9600956945638415,1.0004789067578463,1.535512855211449,0.9016691446304321,1.573604702949524,0.5905253283302064,0.16773248068212096,0.2612575223075327,0.8104641566698616,0.5199132529828624,1.7334942817687988,3.644019603729248,1.00150728225708,1.0166137218475342,1.0004789067578463
26,1.0003900801195384,0.4793998136667358,1.95918970745301,1.0003900801195384,1.5356524273407735,0.9014117121696472,1.5741984844207764,0.5914634146341463,0.16799893418598455,0.26167254617140484,0.8108242873965241,0.520357095653101,1.732975721359253,3.6459994316101074,1.0013835430145264,1.0164966583251953,1.0003900801195384
27,1.0003126608790343,0.4790062252669581,1.9583251114129503,1.0003126608790343,1.5357986110037496,0.9013544619083405,1.5747593641281128,0.5923149015932521,0.16839861444177992,0.26224066390041495,0.8111720154942057,0.5207786413135645,1.7305814027786255,3.6441550254821777,1.0013774633407593,1.0164697170257568,1.0003126608790343
28,1.0002447139600015,0.47862524660524053,1.9574952071704825,1.0002447139600015,1.5359479270234224,0.9010512232780457,1.5749766826629639,0.5927835051546392,0.1685318411937117,0.262448132780083,0.8115081184342545,0.5211940401558594,1.7290396690368652,3.6447291374206543,1.0012973546981812,1.0163843631744385,1.0002447139600015
29,1.0001831899575186,0.47825439427888106,1.9566919785152808,1.0001831899575186,1.5360833308536657,0.9009741246700287,1.5762070417404175,0.593061415846226,0.1685318411937117,0.2624753605145762,0.811831403478727,0.5215850902069403,1.7297685146331787,3.6464219093322754,1.0010141134262085,1.0161149501800537,1.0001831899575186
30,1.0001280415495355,0.4778960036515237,1.9559200488525827,1.0001280415495355,1.5362071277156308,0.900773674249649,1.5762817859649658,0.5927665570690465,0.16813216093791633,0.26196159833938765,0.8121416537661792,0.5219501532287035,1.7293720245361328,3.642125368118286,1.0012781620025635,1.0163562297821045,1.0001280415495355
31,1.0000769344279168,0.47754447348050977,1.9551658813889363,1.0000769344279168,1.5363220505132504,0.9006381332874298,1.57616525888443,0.5926622765757291,0.16786570743405277,0.2616279069767442,0.8124423898345248,0.5223030339975724,1.7306630611419678,3.6464483737945557,1.001044511795044,1.0161501169204712,1.0000769344279168
32,1.000029516476479,0.47719789046351235,1.9544252974035037,1.000029516476479,1.5364256491986332,0.9004299342632294,1.5760409832000732,0.5935150375939849,0.1682653876898481,0.2621963877932323,0.8127302041906453,0.5226483704787794,1.7280025482177734,3.6450958251953125,1.0011276006698608,1.0162121057510376,1.000029516476479
